17,657341,4
226,712372,4
425,569599,4
615,474928,4
1279,552242,4
1819,323144,4
1878,357492,3
2131,770024,3
2861,786789,4
4810,396312,4
4840,72369,3
5334,938683,4
5463,0,0
5521,917730,4
5568,743415,4
5576,302221,3
5577,552242,4
5598,149172,4
5631,73598,4
6622,938683,4
7395,4840,4
7557,367790,2
7991,917730,4
8279,352496,4
8373,61138,4
8377,400430,4
8441,34024,4
8678,30717,4
9315,149172,4
9635,407591,4
9968,754698,3
10931,598310,4
12013,959677,4
12351,891260,4
12469,47994,4
13115,149172,4
13420,184859,4
13460,62029,4
13680,272996,4
14056,598310,4
14134,5576,4
14311,339924,4
14685,68470,4
14833,885339,4
15008,338054,4
15060,324436,2
15143,841723,4
15317,507164,4
15458,405683,4
15711,754698,3
15804,551023,4
15996,937253,3
17056,712293,4
17894,491131,4
18769,600907,4
18960,720526,4
19116,668316,4
19158,862760,4
19597,662631,4
20075,237977,4
20641,377969,4
21565,357492,3
21915,496639,4
21953,435720,4
22279,813945,4
22325,970042,4
22754,961154,4
23328,693832,4
23543,115997,4
23644,21565,4
23833,958024,4
24181,821342,4
24579,748932,4
24905,484495,4
25061,743415,4
25346,950186,4
25635,902775,4
26013,885339,4
26403,950186,4
26735,720751,4
27180,199975,4
27193,713125,3
27436,813945,4
27689,698006,4
27917,415373,4
28121,955854,4
28846,932499,4
29145,875598,4
29870,595814,4
30237,489752,3
30353,729189,4
30474,578206,4
30488,711251,4
30717,661124,3
30763,532703,4
31173,932499,4
31447,122227,4
31851,312328,4
32209,35544,4
33111,252300,4
33288,248178,4
33428,552242,4
34024,351033,3
34406,580225,4
34715,620819,4
34958,689209,4
35544,72369,3
35777,465779,4
36169,102648,4
36464,411276,4
36893,411276,4
37052,712293,4
37617,620819,4
38075,432187,4
38341,643723,4
39931,932499,4
39950,507942,4
40131,712293,4
41535,752272,4
42267,451757,4
42317,280404,4
42541,879931,4
42772,565296,4
43289,199975,4
44594,225306,4
44793,883230,3
45164,485148,4
45329,367790,2
45716,862760,4
46003,15996,4
46063,985379,4
46345,155988,4
46445,738049,4
47068,607505,4
47594,133727,3
47725,481538,4
47904,451388,4
47994,563057,3
48068,15711,4
48378,839431,4
48380,199975,4
48463,357492,3
48817,34024,4
49404,326879,4
49910,862760,4
50164,675356,4
50618,638179,4
50728,185460,4
50946,556320,4
51266,565296,4
51278,182802,4
52045,658837,4
52142,55533,4
52473,5576,4
53315,753517,2
53660,944099,4
55023,248178,4
55533,883230,3
55667,27193,4
58048,266754,4
58547,339924,4
58892,958024,4
59001,689209,4
59453,638179,4
59595,294837,4
59842,92615,4
60161,306565,4
60219,432187,4
61138,510805,3
62029,754698,3
62158,595814,4
63114,409349,4
63618,950568,4
64579,752272,4
64866,923906,4
65535,467924,4
65566,485148,4
65595,340109,4
65604,126347,4
65964,821342,4
66126,257646,4
66142,478538,4
66305,578365,4
66604,489752,3
67495,651000,4
67891,357492,3
68470,783244,3
69352,712293,4
69778,493227,4
70022,841171,4
71314,698006,4
71611,147953,4
71928,21565,4
71969,620819,4
72240,100479,4
72369,753517,2
72741,507942,4
72889,435720,4
72891,843426,4
73141,687254,2
73302,34024,4
73598,504270,3
73605,467924,4
73610,411276,4
74710,834312,4
75072,798274,4
75294,47994,4
75695,522970,4
77354,312328,4
79214,432187,4
79528,729189,4
79857,976947,4
80434,199975,4
80476,917730,4
81412,4840,4
82682,130420,4
82929,657341,4
83667,950186,4
83865,100479,4
84784,595814,4
85938,117068,3
88312,115997,4
89353,44793,4
89987,144659,4
90093,271256,4
91410,638179,4
91957,678322,4
92177,122227,4
92429,67891,4
92615,133727,3
93170,202819,4
93837,891260,4
93941,747832,4
94118,312328,4
94168,415373,4
94368,358540,4
94595,933656,4
94904,933656,4
95200,199975,4
95804,312328,4
96022,932074,4
96034,607505,4
97085,342024,4
97127,661124,3
97454,875736,4
97507,15711,4
97773,126940,4
98267,839431,4
98528,252300,4
99147,649413,4
99679,44793,4
100479,73141,3
100613,199975,4
101868,702287,4
102339,272996,4
102482,286138,4
102648,563057,3
103404,950568,4
105038,653790,4
107097,753517,2
107509,44793,4
107658,839431,4
107743,982118,4
107863,138517,4
108889,607505,4
109393,280404,4
110451,232858,4
110593,9968,4
110712,568953,4
111352,61138,4
111372,343217,4
111847,464282,4
112348,523171,4
114031,733819,4
115122,661124,3
115419,357171,4
115623,938683,4
115997,504270,3
116055,789428,4
117068,324436,2
117096,702287,4
117211,559381,4
117243,349394,4
117517,851477,4
117746,433952,4
117909,743415,4
118188,643723,4
118862,496639,4
118982,660542,4
120143,551023,4
121093,743415,4
122227,754698,3
122473,929290,4
124713,738049,4
125520,223765,4
125623,358540,4
125885,729189,4
126347,357492,3
126940,357492,3
127875,68470,4
127957,698006,4
128752,654996,4
129116,752272,4
129173,248178,4
129330,938683,4
130040,841723,4
130062,280404,4
130316,662631,4
130420,351033,3
130597,680336,4
130882,155988,4
131353,294837,4
